taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1404.0,223,19489.0,143631.0,864040.0,0,0.0,223.0,223.0,13252.0,13993.0,0,0,0.0
1405.0,2562,18694.0,129054.0,664641.0,0,2562.0,2562.0,5850.0,13252.0,18694.0,0,0,0.0
1406.0,1836,30659.0,150397.0,942981.0,0,0.0,1836.0,1836.0,7665.0,18471.0,0,0,0.0
1407.0,2865,48381.0,166614.0,988426.0,0,0.0,2865.0,2865.0,7665.0,18471.0,0,0,0.0
1408.0,741,30659.0,142879.0,929724.0,0,0.0,741.0,741.0,12738.0,18694.0,0,0,0.0
1409.0,1423,30659.0,155720.0,979099.0,1423,2223.0,2223.0,7296.0,18694.0,18694.0,0,800,800.0
1410.0,800,44310.0,172394.0,1010692.0,800,2223.0,2223.0,7296.0,18694.0,18694.0,0,0,4711.0
1411.0,1785,19489.0,136073.0,836875.0,0,1785.0,5674.0,10467.0,13993.0,18694.0,0,0,0.0
1412.0,3288,29455.0,141540.0,894296.0,3288,5858.0,8244.0,13029.0,13993.0,18694.0,0,0,2223.0
1413.0,2570,18694.0,131120.0,703065.0,2570,5858.0,5858.0,8244.0,13252.0,18694.0,0,0,0.0
