,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
3911,14646374,1464637411.0,school,2.200000000000001,12.883333333333333,15.083333333333334,17.416666666666668,2.333333333333334,WTranDr
3912,14646375,1464637501.0,home,13.783333333333331,17.416666666666668,7.2,7.266666666666667,0.06666666666666643,shared
3913,14646375,1464637511.0,school,9.916666666666668,7.266666666666667,17.183333333333334,17.416666666666668,0.23333333333333428,shared
3914,14646553,1464655301.0,home,15.5,16.0,7.5,7.75,0.25,shared
3915,14646553,1464655311.0,school,7.5,7.75,15.25,16.0,0.75,walk
3918,14648403,1464840301.0,home,19.0,17.0,12.0,12.5,0.5,drive_alone
3919,14648403,1464840311.0,school,3.666666666666668,12.5,16.166666666666668,17.0,0.8333333333333321,drive_alone
3920,14653681,1465368101.0,home,19.25,12.75,8.0,8.75,0.75,drive_alone
3921,14653681,1465368111.0,school,3.25,8.75,12.0,12.75,0.75,drive_alone
3922,14653683,1465368301.0,home,19.25,12.75,8.0,8.75,0.75,shared
3923,14653683,1465368311.0,school,3.25,8.75,12.0,12.75,0.75,shared
3924,14653843,1465384301.0,home,16.416666666666668,15.0,7.416666666666667,7.75,0.33333333333333304,bike
3925,14653843,1465384311.0,school,6.75,7.75,14.5,15.0,0.5,bike
3926,14653844,1465384401.0,home,16.916666666666668,14.75,7.666666666666667,7.75,0.08333333333333304,shared
3927,14653844,1465384411.0,school,6.833333333333334,7.75,14.583333333333334,14.75,0.16666666666666607,shared
3928,14658833,1465883301.0,home,17.05,15.033333333333333,8.083333333333334,8.333333333333334,0.25,shared
3929,14658833,1465883311.0,school,6.583333333333332,8.333333333333334,14.916666666666666,15.033333333333333,0.11666666666666714,shared
3930,14658834,1465883401.0,home,18.916666666666664,13.833333333333334,8.75,8.833333333333334,0.08333333333333393,shared
3931,14658834,1465883411.0,school,4.916666666666666,8.833333333333334,13.75,13.833333333333334,0.08333333333333393,shared
3932,14661335,1466133501.0,home,16.5,15.166666666666666,7.666666666666667,7.833333333333333,0.16666666666666607,shared
3933,14661335,1466133511.0,school,7.166666666666667,7.833333333333333,15.0,15.166666666666666,0.16666666666666607,shared
3934,14661373,1466137301.0,home,19.0,21.666666666666668,16.666666666666668,19.0,2.333333333333332,drive_alone
3935,14661373,1466137311.0,school,2.5,19.0,21.5,21.666666666666668,0.16666666666666785,drive_alone
3936,14664451,1466445103.0,home,15.333333333333332,21.666666666666668,13.0,14.0,1.0,drive_alone
3937,14664451,1466445113.0,school,7.0,14.0,21.0,21.666666666666668,0.6666666666666679,drive_alone
3938,14665543,1466554301.0,home,19.25,17.75,13.0,13.25,0.25,walk
3939,14665543,1466554311.0,school,4.25,13.25,17.5,17.75,0.25,walk
3940,14665544,1466554401.0,home,20.333333333333336,12.166666666666666,8.5,8.75,0.25,bike
3941,14665544,1466554411.0,school,3.25,8.75,12.0,12.166666666666666,0.16666666666666607,bike
3942,14667454,1466745401.0,home,16.166666666666664,14.833333333333334,7.0,7.5,0.5,shared
3943,14667454,1466745411.0,school,7.0,7.5,14.5,14.833333333333334,0.3333333333333339,walk
3944,14667455,1466745501.0,home,16.0,15.0,7.0,7.6,0.5999999999999996,shared
3945,14667455,1466745511.0,school,6.9,7.6,14.5,15.0,0.5,walk
3946,14667456,1466745601.0,home,16.666666666666664,14.333333333333334,7.0,7.416666666666667,0.41666666666666696,shared
3947,14667456,1466745611.0,school,6.583333333333333,7.416666666666667,14.0,14.333333333333334,0.3333333333333339,walk
3948,14667457,1466745701.0,home,16.666666666666664,14.333333333333334,7.0,7.416666666666667,0.41666666666666696,shared
3949,14667457,1466745711.0,school,6.583333333333333,7.416666666666667,14.0,14.333333333333334,0.3333333333333339,walk
3950,14667936,1466793601.0,home,16.65,15.85,8.5,8.583333333333334,0.08333333333333393,shared
3951,14667936,1466793611.0,school,7.25,8.583333333333334,15.833333333333334,15.85,0.01666666666666572,shared
3952,14669022,1466902201.0,home,16.333333333333332,15.5,7.833333333333333,7.916666666666667,0.08333333333333393,shared
3953,14669022,1466902211.0,school,7.416666666666667,7.916666666666667,15.333333333333334,15.5,0.16666666666666607,walk
3954,14672302,1467230201.0,home,11.016666666666667,19.016666666666666,6.033333333333333,6.75,0.7166666666666668,drive_alone
3955,14672302,1467230211.0,school,10.899999999999999,6.75,17.65,19.016666666666666,1.3666666666666671,drive_alone
3956,14673103,1467310301.0,home,18.166666666666664,13.583333333333334,7.75,7.833333333333333,0.08333333333333304,shared
3957,14673103,1467310311.0,school,5.666666666666667,7.833333333333333,13.5,13.583333333333334,0.08333333333333393,shared
3959,14683563,1468356301.0,home,16.416666666666668,15.25,7.666666666666667,7.833333333333333,0.16666666666666607,shared
3960,14683563,1468356311.0,school,7.250000000000001,7.833333333333333,15.083333333333334,15.25,0.16666666666666607,shared
3961,14683983,1468398301.0,home,19.333333333333336,12.166666666666666,7.5,7.75,0.25,shared
3962,14683983,1468398311.0,school,4.25,7.75,12.0,12.166666666666666,0.16666666666666607,shared
3963,14686783,1468678301.0,home,17.016666666666666,14.983333333333333,8.0,8.25,0.25,shared
3964,14686783,1468678311.0,school,6.5,8.25,14.75,14.983333333333333,0.2333333333333325,shared
3965,14686923,1468692301.0,home,14.0,17.0,7.0,8.0,1.0,shared
